CourseName,Teachable,Udemy
Angular 4: Beginner to Pro,Angular 4: Beginner to Pro,The Complete Angular Course: Beginner to Advanced
Xamarin Forms,Xamarin Forms: Build Native Mobile Apps with C#,Xamarin Forms: Build Native Cross-platform Apps with C#
Angular 4 Crash Course,Angular 4 Crash Course for Busy Developers,Angular Crash Course for Busy Developers
C# Basics,C# Basics for Beginners,C# Basics for Beginners: Learn C# Fundamentals by Coding
C# Advanced,C# Advanced: Take Your C# Skills to the Next Level,C# Advanced Topics: Take Your C# Skills to the Next Level
C# Intermediate,"C# Intermediate: Classes, Interfaces and Object-oriented Programming","C# Intermediate: Classes, Interfaces and OOP"
Clean Coding ,Clean Coding and Refactoring,C# Developers: Learn the Art of Writing Clean Code
Redux in Angular ,Redux in Angular,Redux in Angular (2 and 4+)
Unit Testing,Unit Testing for C# Developers,Unit Testing for C# Developers
ASP.NET MVC 5,The Complete ASP.NET MVC 5 Course,The Complete ASP.NET MVC 5 Course
Entity Framework 6,Entity Framework 6 in Depth,Entity Framework in Depth: The Complete Guide
Annual Subscription ,All-Access Annual Subscription,
ASP.NET Core with Angular 2,Build a Real-world App with ASP.NET Core 1.0+ and Angular 2+,Build a Real-world App with ASP.NET Core and Angular 2 (4+)
Node.js ,The Complete Node.js Course,
Back-end Bundle,Back-end Development Bundle (.NET Edition),
Double Your Coding Speed,C# Developers: Double Your Coding Speed,C# Developers: Double Your Coding Speed with Visual Studio 
Backbone.js,,Backbone Tutorial: Learn Backbonejs from Scratch
Unit Testing - Introduction,,Introduction to Unit Testing C# Code
Testing Angular Apps,,Testing Angular 4 (previously Angular 2) Apps with Jasmine
Xamarin Forms (German Edition),,Xamarin Forms: Erstelle Native Cross Plattform Apps mit C#
Build Enterprise Apps with Angular ,,Build Enterprise Applications with Angular 2 (and Angular 4)
Ionic Crash Course ,,Ionic 2 Crash Course: Learn Ionic2 Fundamentals in 1.5 Hours
Angular 2 ,,Angular 2 with TypeScript for Beginners: The Pragmatic Guide